year,unit,value,method_of_travel,breakdown_of_domestic_tourism,travel_type
2015,Million Visits,15.1,Train,Visits,Train
2014,Million Visits,0.7,Bus or Coach - Organised Tour,Visits,Bus
2013,Million Visits,0.8,Boat/Ship/Ferry,Visits,Boat/Ship/Ferry
2016,Million Visits,2.1,Other,Visits,Other
2016,Million Visits,1.6,Bus or Coach - Organised Tour,Visits,Bus
2013,Million Visits,123.9,All,Visits,Other
2018,Million Visits,137.8,All,Visits,Other
2017,Million Visits,151.1,All,Visits,Other
2017,Million Visits,8.5,Walked,Visits,Walked
2014,Million Visits,1.4,Car - hired,Visits,Car
2015,Million Visits,7.7,Walked,Visits,Walked
2016,Million Visits,142,All,Visits,Other
2018,Million Visits,2.7,Car - hired,Visits,Car
2018,Million Visits,0.3,Lorry/Truck/Van,Visits,Lorry
2018,Million Visits,0.2,Boat/Ship/Ferry,Visits,Boat/Ship/Ferry
2015,Million Visits,0.6,Boat/Ship/Ferry,Visits,Boat/Ship/Ferry
2015,Million Visits,0.1,Lorry/Truck/Van,Visits,Lorry
2019,Million Visits,0.3,Lorry/Truck/Van,Visits,Lorry
2016,Million Visits,0.3,Lorry/Truck/Van,Visits,Lorry
2013,Million Visits,0.4,Lorry/Truck/Van,Visits,Lorry
2019,Million Visits,2.3,Car - hired,Visits,Car
2015,Million Visits,1.7,Car - hired,Visits,Car
2017,Million Visits,0.6,Tube,Visits,Tube
2013,Million Visits,0.2,Tube,Visits,Tube
2016,Million Visits,2.5,Car - hired,Visits,Car
2014,Million Visits,8.2,Walked,Visits,Walked
2017,Million Visits,6.4,Car - hired,Visits,Car
2016,Million Visits,7.9,Walked,Visits,Walked
2014,Million Visits,0.1,Tube,Visits,Tube
2018,Million Visits,0.6,Tube,Visits,Tube
2016,Million Visits,0.5,Tube,Visits,Tube
2015,Million Visits,0.1,Tube,Visits,Tube
2019,Million Visits,2.5,Bus or Coach - Organised Tour,Visits,Bus
2017,Million Visits,16,Train,Visits,Train
2019,Million Visits,1.6,Tube,Visits,Tube
2018,Million Visits,1.1,Bus or Coach - Organised Tour,Visits,Bus
2014,Million Visits,4.3,Taxi,Visits,Taxi
2016,Million Visits,0.5,Caravan/Campervan,Visits,Caravan
2018,Million Visits,3.5,Taxi,Visits,Taxi
2018,Million Visits,16.8,Train,Visits,Train
2013,Million Visits,13.2,Train,Visits,Train
2016,Million Visits,14.1,Train,Visits,Train
2015,Million Visits,2.9,Taxi,Visits,Taxi
2015,Million Visits,1.9,Bus or Coach - Organised Tour,Visits,Bus
2019,Million Visits,7.5,Walked,Visits,Walked
2013,Million Visits,7.4,Walked,Visits,Walked
2014,Million Visits,14.3,Train,Visits,Train
2017,Million Visits,3.1,Bus or Coach - Organised Tour,Visits,Bus
2013,Million Visits,2.7,Taxi,Visits,Taxi
2013,Million Visits,0.2,Plane,Visits,Plane
2017,Million Visits,1.8,Plane,Visits,Plane
2014,Million Visits,82.2,Car - own/friends/family,Visits,Car
2017,Million Visits,3.9,Taxi,Visits,Taxi
2016,Million Visits,4.9,Taxi,Visits,Taxi
2013,Million Visits,0.5,Motor cycle,Visits,Motorcycle
2013,Million Visits,0.4,Caravan/Campervan,Visits,Caravan
2014,Million Visits,0.5,Plane,Visits,Plane
2019,Million Visits,1.2,Bicycle,Visits,Bicycle
2018,Million Visits,0.3,Tram,Visits,Tram
2019,Million Visits,80,Car - own/friends/family,Visits,Car
2015,Million Visits,14.2,Bus or Coach - Regular,Visits,Bus
2018,Million Visits,0.7,Bicycle,Visits,Bicycle
2016,Million Visits,0.7,Plane,Visits,Plane
2019,Million Visits,12.7,Bus or Coach - Regular,Visits,Bus
2014,Million Visits,0.3,Bus or Coach - Minibus,Visits,Bus
2015,Million Visits,0.2,Tram,Visits,Tram
2015,Million Visits,76,Car - own/friends/family,Visits,Car
2017,Million Visits,1.5,Bicycle,Visits,Bicycle
2015,Million Visits,0.9,Plane,Visits,Plane
2019,Million Visits,0.4,Caravan/Campervan,Visits,Caravan
2013,Million Visits,0.2,Bus or Coach - Minibus,Visits,Bus
2018,Million Visits,1.7,Plane,Visits,Plane
2015,Million Visits,0.9,Bus or Coach - Minibus,Visits,Bus
2014,Million Visits,0.2,Motor cycle,Visits,Motorcycle
2017,Million Visits,0.8,Caravan/Campervan,Visits,Caravan
2019,Million Visits,5.7,Taxi,Visits,Taxi
2014,Million Visits,11.6,Bus or Coach - Regular,Visits,Bus
2014,Million Visits,0.1,Caravan/Campervan,Visits,Caravan
2019,Million Visits,1.3,Plane,Visits,Plane
2018,Million Visits,0.2,Caravan/Campervan,Visits,Caravan
2014,Million Visits,1.3,Bicycle,Visits,Bicycle
2016,Million Visits,0.1,Boat/Ship/Ferry,Visits,Boat/Ship/Ferry
2015,Million Visits,124.1,All,Visits,Other
2013,Million Visits,1.5,Bicycle,Visits,Bicycle
